Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,29.767548249692588,30.662122122866162,29.737595310861547,30.073060989379883,391547000,0.0,0.0
2022-01-04 00:00:00-05:00,30.22881596954902,30.41951198657365,28.303884795870918,29.24338722229004,527154000,0.0,0.0
2022-01-05 00:00:00-05:00,28.902922867375697,29.369180528815402,27.489178175741124,27.5600643157959,498064000,0.0,0.0
2022-01-06 00:00:00-05:00,27.596010041393402,28.39274035120219,27.021926302498073,28.133153915405273,454186000,0.0,0.0
2022-01-07 00:00:00-05:00,28.096212404929176,28.376765311167357,27.013936126976073,27.20363426208496,409939000,0.0,0.0
2022-01-10 00:00:00-05:00,26.538695119791136,27.42528233544818,25.60318610201232,27.35639190673828,594681000,0.0,0.0
2022-01-11 00:00:00-05:00,27.279512824494546,28.020332440469204,26.796283902604138,27.77272605895996,404089000,0.0,0.0
2022-01-12 00:00:00-05:00,28.022324090774486,28.549483530574115,27.564055064718573,27.95443344116211,383413000,0.0,0.0
2022-01-13 00:00:00-05:00,28.33383106188602,28.4346701404563,26.455824385419902,26.532703399658203,540171000,0.0,0.0
2022-01-14 00:00:00-05:00,26.258140035607756,27.153713630687772,26.1682831276825,26.899118423461914,395832000,0.0,0.0
2022-01-18 00:00:00-05:00,26.218204684687187,26.59560331703368,25.72898479958999,25.861772537231445,424270000,0.0,0.0
2022-01-19 00:00:00-05:00,26.037493786048824,26.50075409169109,25.01212790707844,25.027103424072266,488315000,0.0,0.0
2022-01-20 00:00:00-05:00,25.263727268410562,25.538289200391862,24.039676820598647,24.111562728881836,435181000,0.0,0.0
2022-01-21 00:00:00-05:00,23.46958544810788,24.783490843593892,23.2259743245796,23.3367977142334,718958000,0.0,0.0
2022-01-24 00:00:00-05:00,22.294457534407318,23.342785500452436,20.85475331194613,23.33479881286621,913982000,0.0,0.0
2022-01-25 00:00:00-05:00,22.51011418276253,22.906483562104597,21.964983696030615,22.288467407226562,664616000,0.0,0.0
2022-01-26 00:00:00-05:00,23.20301147271318,24.018710588894788,22.264507023879183,22.735755920410156,755959000,0.0,0.0
2022-01-27 00:00:00-05:00,23.530488570004344,23.956808977262714,21.64050002680326,21.909072875976562,573353000,0.0,0.0
2022-01-28 00:00:00-05:00,21.9769611431614,22.821615178087487,21.262101244861995,22.80364418029785,543774000,0.0,0.0
2022-01-31 00:00:00-05:00,23.145103655357065,24.469993223902748,23.0153113961026,24.44702911376953,564680000,0.0,0.0
2022-02-01 00:00:00-05:00,25.06404329512095,25.10497840307502,23.85197485814404,24.598785400390625,518925000,0.0,0.0
2022-02-02 00:00:00-05:00,25.75294759303965,25.775909798571497,24.51392160766454,25.201826095581055,543419000,0.0,0.0
2022-02-03 00:00:00-05:00,24.419075890170966,25.03709024924636,23.74215541287905,23.909887313842773,410178000,0.0,0.0
2022-02-04 00:00:00-05:00,23.933848457583196,24.59579339346609,23.59438941844771,24.280296325683594,354829000,0.0,0.0
2022-02-07 00:00:00-05:00,24.333211987536522,25.141922348784938,24.16348246437939,24.68864631652832,376868000,0.0,0.0
2022-02-08 00:00:00-05:00,24.320232320073583,25.18984642787055,23.941835781571218,25.06804084777832,410359000,0.0,0.0
2022-02-09 00:00:00-05:00,25.581220073742752,26.682465192047925,25.312649109745564,26.66249656677246,524282000,0.0,0.0
